GEconEnvResEffWa;GEconEnvResEffLa;GEconEnvResEffEn;GEconEnvResEffGHE;GEconEnvCircEcon;GEconEnvRegNor;GEconEnvConAcu;EnvTotEnv;REconSocSocApp;REconSocGenEq;REconSocYoPe;REconSocPeaJust;REconSocReinc;REconSocPol;REconSocDisInn;PEconSocArt;PEconSocEthVal;OEconSocDivCrea;SocTotSoc;GrEconEconGInc;GrEconEconRetInv;GrEconEconEmpGen;GrEconEconIncGen;GrEconEconDem;EconTotEcon
3;3;3;3;2;3;3;20;2;1;1;0;0;1;0;0;0;1;6;1;0;1;1;1;4
3;3;3;3;1;3;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;3;3;2;3;3;19;3;1;1;0;0;1;0;0;0;1;7;1;0;1;1;1;4
3;3;3;3;2;3;3;20;3;1;1;0;0;1;0;0;0;1;7;1;0;1;1;1;4
3;2;3;3;2;3;3;19;3;1;1;0;0;1;1;0;1;1;9;1;0;1;1;1;4
3;2;3;3;2;3;3;19;3;1;1;0;0;1;1;0;1;2;10;1;0;1;1;2;5
3;2;3;3;2;3;3;19;3;3;3;0;0;3;2;0;1;2;17;2;2;2;2;2;10
3;2;3;3;2;3;3;19;3;1;1;0;0;0;0;0;1;1;7;1;0;1;1;1;4
3;2;3;3;2;3;3;19;3;1;1;0;0;0;0;0;1;1;7;1;0;1;1;1;4
3;2;3;3;2;3;3;19;3;1;1;0;0;0;0;0;0;1;6;1;0;1;1;1;4
3;2;3;3;2;3;3;19;2;1;1;0;0;0;0;0;0;1;5;1;0;1;1;1;4
3;3;3;3;3;3;3;21;3;0;0;0;0;2;3;3;3;3;17;1;0;1;1;3;6
3;2;3;3;3;3;3;20;2;1;1;0;0;0;1;0;1;1;7;1;0;1;1;1;4
3;3;3;3;3;3;3;21;3;0;0;0;0;0;0;3;2;2;10;0;0;0;0;2;2
3;2;3;3;2;3;3;19;3;1;1;0;0;0;0;0;1;1;7;1;0;1;1;1;4
3;2;3;3;3;3;3;20;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;1;2
3;2;3;3;3;3;3;20;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;1;2
3;2;3;3;2;3;3;19;3;0;0;0;0;0;0;0;2;2;7;0;0;0;0;0;0
3;2;3;3;3;3;3;20;3;1;1;0;0;1;1;0;1;2;10;1;0;0;1;1;3
3;3;3;3;3;3;3;21;0;0;0;0;0;0;0;3;0;1;4;0;0;0;0;0;0
3;3;3;3;3;3;3;21;0;0;0;0;0;0;0;2;0;1;3;0;0;0;0;0;0
3;3;3;3;2;3;3;20;3;0;0;0;0;0;0;3;0;1;7;0;0;0;0;0;0
3;3;3;3;3;3;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;3;3;2;3;3;19;3;0;0;0;0;3;0;3;3;3;15;1;0;0;0;3;4
3;1;3;3;1;3;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;3;3;1;3;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;3;3;2;3;3;19;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
3;2;3;3;2;3;3;19;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
3;2;3;3;2;3;3;19;3;1;1;0;0;1;1;1;1;1;10;1;0;1;1;1;4
3;2;3;3;2;3;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;3;3;3;3;3;21;0;0;0;0;0;0;2;2;1;3;8;0;0;0;0;0;0
3;2;3;3;2;3;3;19;0;0;0;0;0;0;2;3;2;3;10;0;0;0;0;1;1
3;2;3;3;2;3;3;19;3;0;0;0;0;0;1;3;3;3;13;0;0;0;0;0;0
3;2;3;3;2;3;3;19;3;0;0;0;0;3;2;3;3;3;17;0;0;0;0;0;0
3;3;3;3;3;3;3;21;0;1;1;1;1;1;2;3;1;3;14;1;1;1;1;1;5
3;3;3;3;3;3;3;21;0;1;1;1;1;1;2;3;1;3;14;1;1;1;1;2;6
3;3;3;3;3;3;3;21;1;3;2;2;1;2;1;0;0;2;14;2;2;2;2;1;9
3;3;3;3;3;3;3;21;3;3;3;2;1;3;3;1;2;2;23;2;2;2;2;2;10
3;3;3;3;3;3;3;21;3;3;3;2;1;3;3;1;2;2;23;2;2;2;2;2;10
